"","year","geoid","location_name","Ethnicity","total_pop","ethnicity_total","rate","type","Level"
"1",2011,"06","California","BIPOC",37691912,22774759,0.604234643230622,"State Population","Level 1"
"2",2011,"06","California","White",37691912,14917153,0.395765356769378,"State Population","Level 1"
"3",2012,"06","California","BIPOC",38041430,23137375,0.608215174876444,"State Population","Level 1"
"4",2012,"06","California","White",38041430,14904055,0.391784825123556,"State Population","Level 1"
"5",2013,"06","California","BIPOC",38332521,23447982,0.611699449665729,"State Population","Level 1"
"6",2013,"06","California","White",38332521,14884539,0.388300550334271,"State Population","Level 1"
"7",2014,"06","California","BIPOC",38802500,23953371,0.617315147219896,"State Population","Level 1"
"8",2014,"06","California","White",38802500,14849129,0.382684852780104,"State Population","Level 1"
"9",2015,"06","California","BIPOC",39144818,24329696,0.621530441142938,"State Population","Level 1"
"10",2015,"06","California","White",39144818,14815122,0.378469558857063,"State Population","Level 1"
"11",2016,"06","California","BIPOC",39250017,24524288,0.624822353580127,"State Population","Level 1"
"12",2016,"06","California","White",39250017,14725729,0.375177646419873,"State Population","Level 1"
"13",2017,"06","California","BIPOC",39536653,24920017,0.630301634283509,"State Population","Level 1"
"14",2017,"06","California","White",39536653,14616636,0.369698365716491,"State Population","Level 1"
"15",2018,"06","California","BIPOC",39557045,25061566,0.633555059534907,"State Population","Level 1"
"16",2018,"06","California","White",39557045,14495479,0.366444940465093,"State Population","Level 1"
"17",2019,"06","California","BIPOC",39512223,25156142,0.636667342153844,"State Population","Level 1"
"18",2019,"06","California","White",39512223,14356081,0.363332657846156,"State Population","Level 1"
"19",2020,"06","California","BIPOC",39237836,25796081,0.657428737915108,"State Population","Level 1"
"20",2020,"06","California","White",39237836,13441755,0.342571262084892,"State Population","Level 1"
"21",2011,"06","California","Asian",37691912,4905646,0.130151158158281,"State Population","Level 2"
"22",2011,"06","California","Black or African American",37691912,2148618,0.0570047494539412,"State Population","Level 2"
"23",2011,"06","California","Hispanic or Latino",37691912,14359500,0.380970325941544,"State Population","Level 2"
"24",2011,"06","California","Native American or Alaska Native",37691912,155431,0.00412372288251124,"State Population","Level 2"
"25",2011,"06","California","Other or Multiple Race",37691912,1069319,0.0283699855820527,"State Population","Level 2"
"26",2011,"06","California","Pacific Islander",37691912,136245,0.00361470121229191,"State Population","Level 2"
"27",2011,"06","California","White",37691912,14917153,0.395765356769378,"State Population","Level 2"
"28",2012,"06","California","Asian",38041430,5047744,0.132690700638751,"State Population","Level 2"
"29",2012,"06","California","Black or African American",38041430,2150453,0.0565292366769598,"State Population","Level 2"
"30",2012,"06","California","Hispanic or Latino",38041430,14537661,0.382153378566473,"State Population","Level 2"
"31",2012,"06","California","Native American or Alaska Native",38041430,145112,0.00381457794830531,"State Population","Level 2"
"32",2012,"06","California","Other or Multiple Race",38041430,1119002,0.0294153505796181,"State Population","Level 2"
"33",2012,"06","California","Pacific Islander",38041430,137403,0.00361193046633631,"State Population","Level 2"
"34",2012,"06","California","White",38041430,14904055,0.391784825123556,"State Population","Level 2"
"35",2013,"06","California","Asian",38332521,5147620,0.134288584880707,"State Population","Level 2"
"36",2013,"06","California","Black or African American",38332521,2167357,0.0565409460024818,"State Population","Level 2"
"37",2013,"06","California","Hispanic or Latino",38332521,14719327,0.383990580739524,"State Population","Level 2"
"38",2013,"06","California","Native American or Alaska Native",38332521,139821,0.00364758164483886,"State Population","Level 2"
"39",2013,"06","California","Other or Multiple Race",38332521,1140900,0.029763239417517,"State Population","Level 2"
"40",2013,"06","California","Pacific Islander",38332521,132957,0.00346851698065984,"State Population","Level 2"
"41",2013,"06","California","White",38332521,14884539,0.388300550334271,"State Population","Level 2"
"42",2014,"06","California","Asian",38802500,5329431,0.137347619354423,"State Population","Level 2"
"43",2014,"06","California","Black or African American",38802500,2155733,0.0555565491914181,"State Population","Level 2"
"44",2014,"06","California","Hispanic or Latino",38802500,14988770,0.386283615746408,"State Population","Level 2"
"45",2014,"06","California","Native American or Alaska Native",38802500,135245,0.00348547129695252,"State Population","Level 2"
"46",2014,"06","California","Other or Multiple Race",38802500,1206354,0.0310895947426068,"State Population","Level 2"
"47",2014,"06","California","Pacific Islander",38802500,137838,0.00355229688808711,"State Population","Level 2"
"48",2014,"06","California","White",38802500,14849129,0.382684852780104,"State Population","Level 2"
"49",2015,"06","California","Asian",39144818,5476958,0.139915275631119,"State Population","Level 2"
"50",2015,"06","California","Black or African American",39144818,2192844,0.0560187557903577,"State Population","Level 2"
"51",2015,"06","California","Hispanic or Latino",39144818,15184545,0.387906899963106,"State Population","Level 2"
"52",2015,"06","California","Native American or Alaska Native",39144818,135866,0.00347085532496281,"State Population","Level 2"
"53",2015,"06","California","Other or Multiple Race",39144818,1196075,0.0305551299280533,"State Population","Level 2"
"54",2015,"06","California","Pacific Islander",39144818,143408,0.0036635245053381,"State Population","Level 2"
"55",2015,"06","California","White",39144818,14815122,0.378469558857063,"State Population","Level 2"
"56",2016,"06","California","Asian",39250017,5518226,0.140591684329716,"State Population","Level 2"
"57",2016,"06","California","Black or African American",39250017,2160958,0.0550562309310592,"State Population","Level 2"
"58",2016,"06","California","Hispanic or Latino",39250017,15280776,0.389318965135735,"State Population","Level 2"
"59",2016,"06","California","Native American or Alaska Native",39250017,132153,0.00336695395571421,"State Population","Level 2"
"60",2016,"06","California","Other or Multiple Race",39250017,1295156,0.0329975908035912,"State Population","Level 2"
"61",2016,"06","California","Pacific Islander",39250017,137019,0.00349092842431126,"State Population","Level 2"
"62",2016,"06","California","White",39250017,14725729,0.375177646419873,"State Population","Level 2"
"63",2017,"06","California","Asian",39536653,5679986,0.143663804824349,"State Population","Level 2"
"64",2017,"06","California","Black or African American",39536653,2164239,0.0547400661355932,"State Population","Level 2"
"65",2017,"06","California","Hispanic or Latino",39536653,15477306,0.391467279741662,"State Population","Level 2"
"66",2017,"06","California","Native American or Alaska Native",39536653,147880,0.00374032672922516,"State Population","Level 2"
"67",2017,"06","California","Other or Multiple Race",39536653,1313086,0.0332118654555812,"State Population","Level 2"
"68",2017,"06","California","Pacific Islander",39536653,137520,0.00347829139709929,"State Population","Level 2"
"69",2017,"06","California","White",39536653,14616636,0.369698365716491,"State Population","Level 2"
"70",2018,"06","California","Asian",39557045,5741886,0.145154573603766,"State Population","Level 2"
"71",2018,"06","California","Black or African American",39557045,2179078,0.0550869762895585,"State Population","Level 2"
"72",2018,"06","California","Hispanic or Latino",39557045,15540142,0.392853965709522,"State Population","Level 2"
"73",2018,"06","California","Native American or Alaska Native",39557045,139116,0.00351684510306571,"State Population","Level 2"
"74",2018,"06","California","Other or Multiple Race",39557045,1318042,0.0333200318679012,"State Population","Level 2"
"75",2018,"06","California","Pacific Islander",39557045,143302,0.00362266696109378,"State Population","Level 2"
"76",2018,"06","California","White",39557045,14495479,0.366444940465093,"State Population","Level 2"
"77",2019,"06","California","Asian",39512223,5786711,0.146453693582363,"State Population","Level 2"
"78",2019,"06","California","Black or African American",39512223,2171989,0.0549700531908822,"State Population","Level 2"
"79",2019,"06","California","Hispanic or Latino",39512223,15574882,0.394178834230613,"State Population","Level 2"
"80",2019,"06","California","Native American or Alaska Native",39512223,149063,0.00377257943700105,"State Population","Level 2"
"81",2019,"06","California","Other or Multiple Race",39512223,1331651,0.0337022546162487,"State Population","Level 2"
"82",2019,"06","California","Pacific Islander",39512223,141846,0.00358992709673662,"State Population","Level 2"
"83",2019,"06","California","White",39512223,14356081,0.363332657846156,"State Population","Level 2"
"84",2020,"06","California","Asian",39237836,5872575,0.149666128376703,"State Population","Level 2"
"85",2020,"06","California","Black or African American",39237836,2071059,0.0527821921677842,"State Population","Level 2"
"86",2020,"06","California","Hispanic or Latino",39237836,15754608,0.401515720693669,"State Population","Level 2"
"87",2020,"06","California","Native American or Alaska Native",39237836,96069,0.0024483766128183,"State Population","Level 2"
"88",2020,"06","California","Other or Multiple Race",39237836,1863282,0.0474868695613081,"State Population","Level 2"
"89",2020,"06","California","Pacific Islander",39237836,138488,0.0035294505028259,"State Population","Level 2"
"90",2020,"06","California","White",39237836,13441755,0.342571262084892,"State Population","Level 2"
